# NedoTokenizer 20 GB candidate vocabulary
# NDSRF004 / RootSuffixByteBpe / max_token_bytes=48 / min_frequency=100
# columns: id	type	text	hex
751	learned	"stan"	73 74 61 6E
752	learned	"diği"	64 69 C4 9F 69
753	learned	"dım"	64 C4 B1 6D
754	learned	" Ar"	20 41 72
755	learned	"arı"	61 72 C4 B1
756	learned	"yen"	79 65 6E
757	learned	"lerinin"	6C 65 72 69 6E 69 6E
758	learned	" özel"	20 C3 B6 7A 65 6C
759	learned	"gil"	67 69 6C
760	learned	" açık"	20 61 C3 A7 C4 B1 6B
761	learned	" öğr"	20 C3 B6 C4 9F 72
762	learned	"ağı"	61 C4 9F C4 B1
763	learned	"sine"	73 69 6E 65
764	learned	" düz"	20 64 C3 BC 7A
765	learned	"larının"	6C 61 72 C4 B1 6E C4 B1 6E
766	learned	" bağ"	20 62 61 C4 9F
767	learned	" yük"	20 79 C3 BC 6B
768	learned	"han"	68 61 6E
769	learned	" Bir"	20 42 69 72
770	learned	"Ö"	C3 96
771	learned	"tığ"	74 C4 B1 C4 9F
772	learned	",000,000"	2C 30 30 30 2C 30 30 30
773	learned	"unda"	75 6E 64 61
774	learned	" başla"	20 62 61 C5 9F 6C 61
775	learned	"iyat"	69 79 61 74
776	learned	" kı"	20 6B C4 B1
777	learned	" gen"	20 67 65 6E
778	learned	" Al"	20 41 6C
779	learned	" tak"	20 74 61 6B
780	learned	" yol"	20 79 6F 6C
781	learned	"işi"	69 C5 9F 69
782	learned	"ınız"	C4 B1 6E C4 B1 7A
783	learned	" iste"	20 69 73 74 65
784	learned	"Bu"	42 75
785	learned	" iyi"	20 69 79 69
786	learned	" ev"	20 65 76
787	learned	" uz"	20 75 7A
788	learned	" gir"	20 67 69 72
789	learned	" w"	20 77
790	learned	"siz"	73 69 7A
791	learned	"lerine"	6C 65 72 69 6E 65
792	learned	"ıla"	C4 B1 6C 61
793	learned	"sini"	73 69 6E 69
794	learned	" neden"	20 6E 65 64 65 6E
795	learned	"uyor"	75 79 6F 72
